Epoch,gpu_mem,box,obj,cls,total,labels,img_size,P,R,mAP@.5,mAP@.5:.95,dummy_1,dummy_2,dummy_3
0/249,7.81G,0.07724,0.006435,0,0.08367,14,640,0.0004964,0.002475,0.000004936,0.000001472,0.1251,0.007086,0
1/249,10.8G,0.06376,0.00399,0,0.06775,12,640,0.002382,0.008663,0.00003847,0.00001473,0.1239,0.00714,0
2/249,10.8G,0.05693,0.004045,0,0.06098,6,640,0.01039,0.05941,0.002323,0.0003502,0.1258,0.005746,0
3/249,10.8G,0.0625,0.003821,0,0.06632,20,640,0,0,0,0,0.1216,0.006974,0
4/249,10.8G,0.06185,0.004075,0,0.06593,7,640,0.003261,0.03094,0.0005129,0.00008266,0.1165,0.007795,0
5/249,10.8G,0.05989,0.004402,0,0.06429,16,640,0.04433,0.09158,0.01121,0.002102,0.1128,0.007438,0
6/249,10.8G,0.05948,0.004276,0,0.06376,16,640,0.05242,0.05446,0.009848,0.001967,0.1111,0.007634,0
7/249,10.8G,0.05882,0.004252,0,0.06308,16,640,0.08584,0.1386,0.03768,0.009744,0.1105,0.006962,0
8/249,10.8G,0.05978,0.004279,0,0.06406,5,640,0.004682,0.003713,0.0001514,0.00004698,0.1279,0.007509,0
9/249,10.8G,0.05999,0.004384,0,0.06437,21,640,0.05225,0.07921,0.01984,0.004405,0.1148,0.006677,0
10/249,10.8G,0.05921,0.004401,0,0.06361,2,640,0.116,0.1411,0.04112,0.008118,0.1088,0.007389,0
11/249,10.8G,0.05648,0.004244,0,0.06073,18,640,0.1677,0.1869,0.08331,0.01971,0.108,0.007076,0
12/249,10.8G,0.05613,0.00424,0,0.06037,15,640,0.2021,0.2203,0.1164,0.03054,0.1068,0.006673,0
13/249,10.8G,0.05564,0.004165,0,0.05981,19,640,0.2739,0.2302,0.1605,0.041,0.104,0.007038,0
14/249,10.8G,0.05612,0.004119,0,0.06023,16,640,0.364,0.2661,0.2087,0.05805,0.1042,0.006348,0
15/249,10.8G,0.05637,0.004188,0,0.06056,23,640,0.3256,0.2797,0.1998,0.0595,0.103,0.006486,0
16/249,10.8G,0.0547,0.004092,0,0.05879,13,640,0.4293,0.2718,0.2629,0.08236,0.1032,0.006307,0
17/249,10.8G,0.05426,0.004079,0,0.05834,30,640,0.3799,0.2698,0.2293,0.06435,0.1046,0.006371,0
18/249,10.8G,0.05405,0.004168,0,0.05822,17,640,0.4132,0.2562,0.2254,0.05791,0.1053,0.006445,0
19/249,10.8G,0.05384,0.004261,0,0.0581,21,640,0.4522,0.3045,0.2741,0.08279,0.1016,0.006268,0
20/249,10.8G,0.05286,0.004202,0,0.05707,15,640,0.54,0.3292,0.3222,0.1077,0.102,0.00621,0
21/249,10.8G,0.05342,0.004188,0,0.05761,13,640,0.435,0.3082,0.2787,0.09012,0.1015,0.006608,0
22/249,10.8G,0.05345,0.004188,0,0.05764,6,640,0.5399,0.3243,0.3262,0.1026,0.1005,0.006206,0
23/249,10.8G,0.05361,0.004119,0,0.05773,20,640,0.3573,0.2611,0.2071,0.06485,0.1029,0.0068,0
24/249,10.8G,0.05206,0.004126,0,0.05619,11,640,0.53,0.3255,0.3343,0.1154,0.1009,0.00605,0
25/249,10.8G,0.05186,0.004178,0,0.05604,32,640,0.4653,0.3428,0.3176,0.1004,0.1008,0.006182,0
26/249,10.8G,0.05275,0.004032,0,0.05678,27,640,0.468,0.3725,0.3595,0.1193,0.0994,0.006052,0
27/249,10.8G,0.05312,0.004107,0,0.05723,20,640,0.5276,0.3923,0.3886,0.1357,0.09817,0.00611,0
28/249,10.8G,0.05089,0.004169,0,0.05505,8,640,0.633,0.3762,0.4028,0.14,0.09947,0.005853,0
29/249,10.8G,0.05247,0.004015,0,0.05648,23,640,0.5441,0.427,0.4079,0.1346,0.09917,0.006186,0
30/249,10.8G,0.05385,0.004072,0,0.05792,11,640,0.5433,0.4084,0.4131,0.1387,0.09909,0.005861,0
31/249,10.8G,0.05515,0.004332,0,0.05948,16,640,0.417,0.2203,0.2081,0.05968,0.1059,0.006225,0
32/249,10.8G,0.0555,0.004142,0,0.05964,15,640,0.4652,0.3577,0.328,0.1103,0.1013,0.006123,0
33/249,10.8G,0.0522,0.004228,0,0.05643,23,640,0.5006,0.3379,0.3272,0.1107,0.1004,0.006336,0
34/249,10.8G,0.05152,0.004164,0,0.05568,12,640,0.5072,0.3032,0.3112,0.1043,0.1003,0.00626,0
35/249,10.8G,0.05657,0.004005,0,0.06057,12,640,0.5878,0.3589,0.381,0.1298,0.09919,0.006041,0
36/249,10.8G,0.05255,0.004125,0,0.05667,16,640,0.5724,0.3973,0.4043,0.1376,0.09943,0.005965,0
37/249,10.8G,0.05262,0.004158,0,0.05678,12,640,0.619,0.4042,0.4109,0.1531,0.09866,0.006091,0
38/249,10.8G,0.05129,0.004124,0,0.05542,27,640,0.5381,0.3911,0.3817,0.1356,0.09902,0.006156,0
39/249,10.8G,0.0492,0.004106,0,0.0533,9,640,0.663,0.3998,0.4326,0.162,0.09767,0.005827,0
40/249,10.8G,0.05173,0.004176,0,0.0559,18,640,0.5829,0.4168,0.4363,0.1625,0.09707,0.006042,0
41/249,10.8G,0.05198,0.003968,0,0.05594,8,640,0.5855,0.4084,0.4269,0.1563,0.09856,0.005919,0
42/249,10.8G,0.05016,0.003968,0,0.05413,3,640,0.6175,0.3787,0.4087,0.1534,0.09799,0.005924,0
43/249,10.8G,0.05175,0.003999,0,0.05575,9,640,0.6589,0.448,0.4787,0.1713,0.09676,0.005847,0
44/249,10.8G,0.05037,0.004102,0,0.05447,7,640,0.6444,0.444,0.4679,0.1616,0.0969,0.005799,0
45/249,10.8G,0.0497,0.004144,0,0.05384,44,640,0.6434,0.4282,0.4535,0.1779,0.09759,0.005933,0
46/249,10.8G,0.05149,0.004005,0,0.0555,14,640,0.6385,0.4468,0.479,0.1903,0.09757,0.005619,0
47/249,10.8G,0.0529,0.004123,0,0.05703,18,640,0.6492,0.4592,0.4739,0.1866,0.09663,0.005746,0
48/249,10.8G,0.05327,0.004094,0,0.05737,16,640,0.5969,0.4579,0.4704,0.1895,0.09644,0.005872,0
49/249,10.8G,0.05337,0.003967,0,0.05733,38,640,0.6292,0.474,0.4914,0.1832,0.09683,0.005525,0
50/249,10.8G,0.04994,0.004031,0,0.05397,11,640,0.6193,0.4394,0.4641,0.1852,0.09631,0.005733,0
51/249,10.8G,0.05042,0.00405,0,0.05447,13,640,0.6832,0.4616,0.4997,0.1958,0.09583,0.005729,0
52/249,10.8G,0.05266,0.004027,0,0.05668,26,640,0.1523,0.1027,0.04026,0.009059,0.1114,0.00737,0
53/249,10.8G,0.06286,0.004309,0,0.06717,8,640,0.04056,0.0755,0.009712,0.001865,0.1149,0.006946,0
54/249,10.8G,0.05872,0.004119,0,0.06284,10,640,0.1158,0.1696,0.04953,0.01049,0.1081,0.00689,0
55/249,10.8G,0.0553,0.004156,0,0.05946,11,640,0.1747,0.2092,0.09194,0.0201,0.1059,0.006989,0
